index_oligo,OHE_pos3_A
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,0
9,0
10,0
11,1
12,1
13,0
14,1
15,0
16,1
17,0
18,0
19,0
20,0
21,1
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,1
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,1
67,0
68,0
69,1
70,0
71,0
72,0
73,1
74,1
75,0
76,0
77,0
78,0
79,0
80,1
81,0
82,0
83,0
84,0
85,0
86,0
87,1
88,0
89,0
90,1
91,1
92,0
93,0
94,0
95,0
96,1
97,0
98,1
99,0
100,1
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,1
110,1
111,1
112,0
113,0
114,0
115,1
116,1
117,0
118,0
119,0
120,0
121,1
122,0
123,1
124,0
125,1
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,1
136,0
137,1
138,0
139,0
140,0
141,0
142,0
143,1
144,0
145,0
146,0
147,0
148,0
149,1
150,1
151,0
152,0
153,0
154,1
155,0
156,0
157,0
158,0
159,0
160,0
161,1
162,0
163,0
164,0
165,0
166,0
167,0
168,1
169,1
170,1
171,1
172,1
173,0
174,0
175,1
176,1
177,0
178,1
179,0
180,0
181,0
182,1
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,1
191,1
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,1
200,0
201,1
202,1
203,0
204,1
205,0
206,0
207,0
208,0
209,0
210,1
211,0
212,1
213,0
214,0
215,0
216,0
217,1
218,0
219,1
220,0
221,0
222,0
223,0
224,0
225,1
226,0
227,0
228,0
229,1
230,1
231,1
232,1
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,1
241,1
242,0
243,0
244,1
245,1
246,0
247,0
248,1
249,0
250,1
251,0
252,1
253,1
254,1
255,0
256,0
257,0
258,0
259,1
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,1
274,0
275,0
276,0
277,0
